crop,group_name
French Beans(Frasbean),Vegetables
Galgal(Lemon),Vegetables
Gamphrena,Flowers
Gangri,Medicinal and Aromatic Plants
Garcinia,Fruits
Garlic,Vegetables
Gataran,Medicinal and Aromatic Plants
Gerbera,Flowers
Ghee,Oils and Fats
Gherkin,Vegetables
Gholbhaji,Vegetables
Ghost Pepper(King Chilli),Vegetables
Giloy,Forest Products
Gingelly Oil,Oils and Fats
Ginger Seed,Spices
Ginger(Dry),Spices
Ginger(Green),Vegetables
Gladiolus Bulb,Flowers
Gladiolus Cut Flower,Flowers
Glardia,Flowers
Goat,"Live Stock,Poultry,Fisheries"
Goat Hair,Others
Gokhru,Medicinal and Aromatic Plants
Gond,Forest Products
Goose berry(Nellikkai),Fruits
Goosefoot,Vegetables
Gram Raw(Chholia),Vegetables
Gramflour,Others
Grapes,Fruits
Green Avare(W),Vegetables
Green Chilli,Vegetables
Green Fodder,Others
Green Gram Dal(Moong Dal),Pulses
Green Gram(Moong)(Whole),Pulses
Green Peas,Pulses
Green Tea,Beverages
Grey Fruit,Fruits
Ground Nut Oil,Oils and Fats
Ground Nut Seed,Oil Seeds
Groundnut,Oil Seeds
Groundnut pods(raw),Vegetables
Groundnut(Split),Oil Seeds
Guar,Vegetables
Guar Seed(Cluster Beans Seed),Pulses
Guava,Fruits
Gudmar,Forest Products
Guggal,Forest Products
Gur(Jaggery),Others
Gurellu,Oil Seeds
Haralekai,Others
Harrah,Forest Products
Harsingar Leaf,Medicinal and Aromatic Plants
He Buffalo,"Live Stock,Poultry,Fisheries"
Heena,Medicinal and Aromatic Plants
Heliconia species,Flowers
Hen,"Live Stock,Poultry,Fisheries"
Hilsa,Others
Hingot,Medicinal and Aromatic Plants
Hippe Seed,Forest Products
Hog Plum,Fruits
Honey,Others
Honge seed,Oil Seeds
Hybrid Cumbu,Cereals
Imarti Wood(Good Quality),Forest Products
Indian Beans(Seam),Vegetables
Indian Colza(Sarson),Vegetables
Indian Sherbet Berry(Phalsa),Fruits
Indrayan Fruit,Medicinal and Aromatic Plants
Irish,Flowers
Isabgul(Psyllium),Drug and Narcotics
Isbgol,Drug and Narcotics
Jack Fruit(Ripe),Fruits
Jackfruit Seed,Vegetables
Jackfruit(Green/Raw/Unripe),Vegetables
Jaee,Cereals
Jaffri,Flowers
Jamamkhan,Vegetables
Jamun,Medicinal and Aromatic Plants
Jamun(Narale Hannu),Fruits
Jarbara,Flowers
Jasmine,Flowers
Javi,Others
Jowar(Sorghum),Cereals
Jute,Fibre Crops
Jute Seed,Forest Products
Kabuli Chana(Chickpeas-White),Pulses
Kacholam,Spices
Kagda,Flowers
Kakada,Flowers
Kalihari,Forest Products
Kalmegh,Forest Products
Kankambra,Flowers
Kantakari,Medicinal and Aromatic Plants
Karamani,Pulses
Karbuja(Musk Melon),Fruits
Kaunch,Medicinal and Aromatic Plants
Kevda,Flowers
Khandsari(Desi Khand),Others
Kharif Mash,Others
Khirni,Fruits
Khoya,Others
Kidney Beans(Rajma),Pulses
Kinnow,Fruits
Kiwi Fruit,Fruits
Knool Khol,Vegetables
Kodo Millet(Varagu),Cereals
Kooth,Forest Products
Kuchur,Others
Kuchur - Kusum Seed,Oil Seeds
Kulthi(Horse Gram),Pulses
Kutki,Cereals
Ladies Finger,Vegetables
Laha,Oil Seeds
Lak(Teora),Pulses
Large Cardamom,Spices
Lata Kasturi,Medicinal and Aromatic Plants
Leafy Vegetable,Vegetables
Leek,Vegetables
Lemon,Vegetables
Lemongrass,Drug and Narcotics
Lentil(Masur)(Whole),Pulses
Lesser Yam,Vegetables
Letuce,Vegetables
Lilly,Flowers
Lime,Fruits
Limonia(status),Flowers
Linseed,Oil Seeds
Lint,Fibre Crops
Litchi,Fruits
Little Millet ,Cereals
Little gourd(Kundru),Vegetables
Long Melon(Kakri),Vegetables
Lotus,Flowers
Lotus Sticks,Vegetables
Lukad,Fruits
Lupine,Flowers
MENETC*3,Drug and Narcotics
Ma.Inji,Others
Mace,Spices
Mahedi,Others
Mahua,Drug and Narcotics
Mahua Seed(Hippe seed),Forest Products
Maida Atta,Others
Maize,Cereals
Makhana(Foxnut),Dry Fruits
Mango,Fruits
Mango(Raw-Ripe),Vegetables
Mangosteen,Fruits
Maragensu,Others
Marasebu,Fruits
Marget,Flowers
Marigold(Calcutta),Flowers
Marigold(loose),Flowers
Marikozhunthu,Flowers
Mash,Others
Mashrooms,Vegetables
Masur Dal,Pulses
Mataki,Pulses
Meal Maker (Soya Chunks),Vegetables
Mentha Oil,Drug and Narcotics
Mentha(Mint),Vegetables
Methi Seeds,Spices
Methi(Leaves),Vegetables
Millets,Others
Mint(Pudina),Vegetables
Moath Dal,Pulses
Mousambi(Sweet Lime),Fruits
Muesli,Drug and Narcotics
Mulberry,Fruits
Muleti,Drug and Narcotics
Muskmelon Seeds,Spices
Mustard,Oil Seeds
Mustard Oil,Oils and Fats
Myrobolan(Harad),Drug and Narcotics
Nagarmotha,Medicinal and Aromatic Plants
Nargasi,Others
Nearle Hannu,Fruits
Neem Fruits,Drug and Narcotics
Neem Seed,Forest Products
Nelli Kai,Fruits
Nerium,Flowers
Niger Seed(Ramtil),Oil Seeds
Nilgiri,Medicinal and Aromatic Plants
Nirguni,Medicinal and Aromatic Plants
Nutmeg,Spices
Onion,Vegetables
Onion Green,Vegetables
Orange,Fruits
Orchid,Flowers
Other Pulses,Pulses
Other green and fresh vegetables,Vegetables
Ox,"Live Stock,Poultry,Fisheries"
Paddy(Basmati),Cereals
Paddy(Common),Cereals
Palash flowers,Drug and Narcotics
Papaya,Fruits
Papaya(Raw),Vegetables
Passion Fruit,Fruits
Patti Calcutta,Flowers
Pea Pod/Pea Cod/हरी मटर,Vegetables
Peach,Fruits
Pear(Marasebu),Fruits
Peas Wet,Vegetables
Peas(Dry),Pulses
Pegeon Pea(Arhar Fali),Vegetables
Pepper garbled,Spices
Pepper ungarbled,Spices
Perandai,Vegetables
Persimon(Japani Fal),Fruits
Phuee(Leafy Veg),Vegetables
Pigs,"Live Stock,Poultry,Fisheries"
Pincushion Flower,Flowers
Pine Nut(Chilgoza /Niyoza),Dry Fruits
Pineapple,Fruits
Pista(Pistachio),Dry Fruits
Plum,Fruits
Pointed gourd(Parval),Vegetables
Pokcha Leafy Veg,Vegetables
Polherb,Others
Pomegranate,Fruits
Pomelo,Fruits
Poppy capsules,Drug and Narcotics
Popular Wood,Forest Products
Potato,Vegetables
Prawn,"Live Stock,Poultry,Fisheries"
Processed Products(Non-Notified),Others
Proso Millet,Cereals
Pumpkin,Vegetables
Pundi,Others
Pundi Seed,Forest Products
Pupadia,Drug and Narcotics
Purslane,Vegetables
Quince(Nakh),Fruits
Quinoa,Cereals
Rab/Liquid Jaggery/Molasses,Others
Raddish,Vegetables
Ragi(Finger Millet),Cereals
Raibel,Flowers
Rajgir,Others
Rala,Cereals
Ram,"Live Stock,Poultry,Fisheries"
Rambans(Agave /Century plant),Forest Products
Rambutan,Fruits
Ramphal,Fruits
Rat Tail Radish(Mogari),Vegetables
Ratanjot,Forest Products
Raw Biomass(Agro Residue),Others
Raya,Others
Rayee,Spices
Red Cabbage,Vegetables
Red Gourd,Vegetables
Red gram split/Arhar dal/Tur dal,Pulses
Red gram/Arhar/Tur(whole),Pulses
Resinwood,Forest Products
Ribbed Celery,Vegetables
Riccbcan,Others
Rice,Cereals
Rice Bean,Pulses
Ridge Gourd(Permal/Hybrid Gourd),Vegetables
Ridgeguard(Tori),Vegetables
Rose(Local),Flowers
Rose(Loose)),Flowers
Rose(Tata),Flowers
Round Chilli,Vegetables
Round gourd,Vegetables
Rubber,Others
Sabu Dan,Others
Safflower,Oil Seeds
Saffron,Spices
Sahjan Leaf,Medicinal and Aromatic Plants
Sajje,Cereals
Sal Seeds,Oil Seeds
Salad,Vegetables
Salix-Pursi(Willow),Forest Products
Same/Savi,Cereals
Sanai/Sunhemp,Fibre Crops
Sandalwood,Forest Products
Sarasum,Others
Sarphoka,Medicinal and Aromatic Plants
Season Leaves,Vegetables
Seegu,Others
Seemebadnekai,Vegetables
Seetapal,Fruits
Sehuwan (Seed),Others
Sem,Vegetables
"Sesamum(Sesame,Gingelly,Til)",Oil Seeds
Shankhpushpi,Medicinal and Aromatic Plants
She Buffalo,"Live Stock,Poultry,Fisheries"
She Goat,"Live Stock,Poultry,Fisheries"
Sheep,"Live Stock,Poultry,Fisheries"
Shrimp,"Live Stock,Poultry,Fisheries"
Siddota,Fruits
Silk Cocoon,"Live Stock,Poultry,Fisheries"
Siru Kizhagu,Vegetables
Skin And Hide,Others
Snakeguard,Vegetables
Snow Mountain Garlic,Vegetables
Soanf,Spices
Soapnut(Antawala/Retha),Forest Products
Soha,Oil Seeds
Sohphi,Fruits
Sohsang,Fruits
Soji,Cereals
Sompu,Others
Soursop,Fruits
Soyabean,Oil Seeds
Spinach,Vegetables
"Spiny Gourd / Kartali(Kantola)
",Vegetables
Sponge gourd,Vegetables
Squash(Chappal Kadoo),Vegetables
Star Fruit(Kamraikh),Fruits
Strawberry,Fruits
Sugar,Others
Sugar Snap Peas,Vegetables
Sugarcane,Others
Sundaikai,Vegetables
Sunflower/Sunflower Seed,Oil Seeds
Suram,Others
Surat Beans(Papadi),Vegetables
Suva(Dill Seed),Oil Seeds
Suvarna Gadde,Vegetables
Swan Phali(Flat Bean),Vegetables
Swan Plant (Green Herb),Drug and Narcotics
Swanflower,Flowers
Sweet Corn ,Cereals
Sweet Potato,Vegetables
Sweet Pumpkin,Vegetables
Sweet Saag,Vegetables
Sweet Sultan,Flowers
T.V. Cumbu,Cereals
Tamarind,Spices
Tamarind Fruit,Forest Products
Tamarind Seed,Forest Products
Tapioca,Vegetables
Taramira,Oil Seeds
Taro (Arvi) Leaves,Vegetables
Taro (Arvi) Stem,Vegetables
Tea,Beverages
Tender Coconut,Fruits
Tendu Leaves/Kendu leaves/Bidi Leaves,Drug and Narcotics
Tesu Flower,Medicinal and Aromatic Plants
Tevada,Pulses
Thinai(Italian Millet),Pulses
Thogrikai,Vegetables
Thondekai,Vegetables
Tinda,Vegetables
Tobacco,Drug and Narcotics
Tomato,Vegetables
Torchwood,Forest Products
Toria,Oil Seeds
Tube Flower,Flowers
Tube Rose(Double),Flowers
Tube Rose(Loose),Flowers
Tube Rose(Single),Flowers
Tulasi,Others
Tulip,Flowers
Turmeric,Spices
Turmeric Powder,Spices
Turmeric(raw),Vegetables
Turnip,Vegetables
Vatsanabha,Drug and Narcotics
Walnut,Dry Fruits
Water Apple,Fruits
Water Melon,Fruits
Water Plant(Kaseru),Others
Water chestnut,Dry Fruits
Wax,Forest Products
Wheat,Cereals
Wheat Atta,Others
White Muesli,Drug and Narcotics
White Peas,Pulses
White Pumpkin,Vegetables
Wild Bean / Pod,Pulses
Wild Cucumber,Vegetables
Wild Garlic / Shoots,Vegetables
Wild Melon,Fruits
Wild Spinach,Vegetables
Wild lemon,Fruits
Wood,Forest Products
Wood Apple,Fruits
Wood Veneer,Forest Products
Wooden Stick / Wooden Pole,Forest Products
Wool,Others
Yam,Others
Yam Bean / Mexican Turnip(Bankla),Vegetables
Yam(Ratalu),Vegetables
balsam,Flowers
basil,Drug and Narcotics
buttery,Pulses
cineraria,Flowers
dhawai flowers,Drug and Narcotics
dianthus,Flowers
dried mango,Spices
golden rod,Flowers
gulli,Forest Products
gypsophila,Flowers
hydrangea,Flowers
kakatan,Flowers
karanja seeds,Drug and Narcotics
kokum,Forest Products
kutki,Drug and Narcotics
liquor turmeric,Drug and Narcotics
macoy,Drug and Narcotics
mango powder,Spices
nigella,Spices
nigella seeds,Drug and Narcotics
pippali,Drug and Narcotics
poppy seeds,Spices
salvia,Flowers
sanay,Drug and Narcotics
sevanti,Flowers
spikenard,Forest Products
stevia,Drug and Narcotics
stone pulverizer,Drug and Narcotics
sweet william,Flowers
vadang,Drug and Narcotics
